age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.15,1.0,0,1.0,1,0,0,0,0,1,0,0.3333333333333333,0.0,0.0,0.05555555555555555,0.6111111111111112
0.26666666666666666,0.16599999999999998,1,0.75,0,0,1,0,0,1,0,0.09523809523809523,0.09523809523809523,0.0,0.07777777777777778,0.7317460317460318
0.8,0.24,1,0.75,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0
0.9333333333333333,0.722,1,1.0,0,0,1,0,0,0,0,0.047619047619047616,0.047619047619047616,0.011111111111111112,0.08888888888888889,0.8047619047619047
0.21666666666666667,0.272,0,1.0,1,0,0,0,0,0,0,0.19047619047619047,0.09523809523809523,0.011111111111111112,0.022222222222222223,0.680952380952381
0.6333333333333333,0.32,1,0.5,0,0,0,1,0,0,1,0.09523809523809523,0.047619047619047616,0.1111111111111111,0.03333333333333333,0.7126984126984126
0.4,0.004,1,0.5,0,0,1,0,0,1,0,0.14285714285714285,0.09523809523809523,0.07777777777777778,0.0,0.6841269841269841
0.5666666666666667,1.0,0,0.0,0,0,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.8,0.35,1,0.0,0,0,1,0,0,0,0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.6190476190476192
0.5666666666666667,1.0,0,1.0,1,0,0,0,0,0,0,0.14285714285714285,0.09523809523809523,0.13333333333333333,0.0,0.6285714285714286
0.5833333333333334,1.0,1,1.0,1,0,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.45,0.27599999999999997,1,0.0,1,0,0,0,0,0,0,0.0,0.0,0.011111111111111112,0.0,0.9888888888888889
0.4666666666666667,1.0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.044444444444444446,0.9555555555555556
0.7166666666666667,1.0,1,0.75,0,0,1,0,0,0,0,0.2857142857142857,0.19047619047619047,0.0,0.13333333333333333,0.3904761904761904
0.16666666666666666,0.43200000000000005,0,0.75,0,1,0,0,0,1,0,0.3333333333333333,0.3333333333333333,0.022222222222222223,0.011111111111111112,0.3
0.7,0.014000000000000002,0,0.5,0,1,0,0,0,0,1,0.14285714285714285,0.14285714285714285,0.06666666666666667,0.0,0.6476190476190475
0.03333333333333333,0.986,1,0.75,0,1,0,0,0,1,0,0.19047619047619047,0.047619047619047616,0.0,0.1111111111111111,0.6507936507936508
0.4166666666666667,0.558,0,0.25,0,0,0,0,0,0,0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
0.03333333333333333,0.476,1,0.75,0,0,0,0,0,1,0,0.3333333333333333,0.23809523809523808,0.0,0.0,0.42857142857142855
0.48333333333333334,0.548,0,0.75,0,0,1,0,0,0,1,0.14285714285714285,0.14285714285714285,0.0,0.1111111111111111,0.603174603174603
