age,income,gender_male,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,education_College graduate or above,education_High school graduate/GED or equivalent,education_Less than 9th grade,education_Some college or AA degree,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days
29,5.0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,5
36,0.83,1,0,0,1,0,0,0,0,0,1,1,0,2,2,0,7
68,1.2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
76,3.61,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,8
33,1.36,0,1,0,0,0,0,1,0,0,0,0,0,4,2,1,2
58,1.6,1,0,0,0,1,0,0,1,0,0,0,1,2,1,10,3
44,0.02,1,0,0,1,0,0,0,1,0,0,1,0,3,2,7,0
54,5.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
68,1.75,1,0,0,1,0,0,0,0,1,0,0,0,4,4,0,0
54,5.0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,12,0
55,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
47,1.38,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
63,5.0,1,0,0,1,0,0,0,0,0,1,0,0,6,4,0,12
30,2.16,0,0,1,0,0,0,0,0,0,1,1,0,7,7,2,1
62,0.07,0,0,1,0,0,0,0,1,0,0,0,1,3,3,6,0
22,4.93,1,0,1,0,0,0,0,0,0,1,1,0,4,1,0,10
45,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
22,2.38,1,0,0,0,0,0,0,0,0,1,1,0,7,5,0,0
49,2.74,0,0,0,1,0,0,0,0,0,1,0,1,3,3,0,10
44,5.0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,7,0
58,4.86,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
76,2.37,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
41,5.0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
54,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,0.11,0,0,1,0,0,0,0,1,0,0,1,0,10,10,2,0
35,3.65,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
48,1.18,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
44,1.13,1,0,0,0,0,1,0,0,0,1,0,0,4,4,21,0
43,1.08,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
23,1.15,0,0,1,0,0,0,0,1,0,0,1,0,15,10,5,2
63,5.0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,12,0
59,1.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
49,1.15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
80,2.07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
62,4.56,1,1,0,0,0,0,1,0,0,0,0,0,5,3,1,4
30,1.22,0,0,0,1,0,0,0,0,0,1,1,0,3,3,0,0
23,3.71,1,0,0,1,0,0,0,0,0,1,1,0,5,3,10,15
41,2.57,1,0,0,1,0,0,0,1,0,0,0,1,2,2,2,17
36,5.0,1,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0
66,1.52,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
70,1.7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0
56,5.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
44,2.9,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
56,1.64,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
76,0.89,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
29,0.17,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
56,3.92,1,0,1,0,0,0,0,0,0,1,0,0,7,7,0,0
37,2.38,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
47,2.77,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,4
30,5.0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0
23,0.91,0,0,0,0,1,0,1,0,0,0,0,0,10,8,0,0
32,0.61,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
51,1.63,1,0,1,0,0,0,0,1,0,0,0,0,4,4,0,0
55,5.0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0
62,0.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,3.69,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
60,1.54,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0
61,4.72,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,2.37,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0
27,0.81,1,0,0,1,0,0,0,0,0,0,0,0,6,6,0,30
45,5.0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,5,0
44,3.66,0,0,1,0,0,0,1,0,0,0,1,0,4,3,0,0
62,0.46,1,0,0,0,0,1,0,1,0,0,0,0,5,4,8,3
80,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
80,0.64,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
59,1.8,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
20,0.41,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0
21,1.07,1,0,1,0,0,0,0,1,0,0,1,0,1,1,3,2
25,1.44,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
29,0.61,1,0,0,0,0,1,0,0,0,0,0,0,3,3,30,30
37,3.43,1,0,1,0,0,0,1,0,0,0,0,0,4,4,0,0
25,0.29,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
40,5.0,1,0,0,1,0,0,0,0,0,1,0,0,6,3,0,2
76,5.0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0
32,2.66,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,0
30,1.43,1,1,0,0,0,0,0,1,0,0,1,0,3,3,2,0
21,5.0,1,0,0,1,0,0,0,0,0,1,1,0,4,1,2,2
60,1.47,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34,3.52,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
27,5.0,0,0,0,1,0,0,0,0,0,1,0,0,6,4,0,1
30,1.11,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,15
60,1.39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3
48,5.0,0,0,0,1,0,0,1,0,0,0,0,0,20,7,0,0
47,4.18,0,0,0,0,1,0,1,0,0,0,0,1,3,3,15,2
65,5.0,1,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0
40,1.63,1,0,1,0,0,0,0,0,0,1,0,0,4,2,0,3
52,5.0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0
50,5.0,1,0,0,1,0,0,0,0,0,1,0,0,10,8,0,0
48,1.04,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
45,5.0,1,0,0,0,0,0,1,0,0,0,0,0,8,1,2,0
29,2.38,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
71,5.0,1,0,0,1,0,0,0,1,0,0,0,1,3,0,0,2
53,3.55,1,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0
60,2.26,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
39,5.0,0,0,0,1,0,0,1,0,0,0,0,0,7,2,3,10
42,5.0,1,0,1,0,0,0,1,0,0,0,0,0,3,2,0,2
48,5.0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,7,2
25,4.78,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2
55,1.6,1,0,1,0,0,0,0,0,0,1,0,1,5,2,1,0
80,0.66,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
77,2.88,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,3
69,4.26,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0
49,1.78,0,0,0,0,0,0,0,1,0,0,0,0,3,1,4,0
70,3.9,1,0,0,1,0,0,0,0,0,1,0,0,3,0,2,0
77,0.91,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
48,5.0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,15
66,0.95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
35,1.9,0,0,1,0,0,0,0,0,0,1,1,0,10,7,15,10
76,0.4,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
25,4.61,0,0,1,0,0,0,1,0,0,0,1,0,3,3,5,0
22,3.52,1,0,0,1,0,0,0,0,0,1,1,0,4,1,2,12
64,1.85,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
74,3.48,1,0,0,1,0,0,0,0,0,1,0,1,5,2,0,2
21,0.96,1,0,1,0,0,0,0,1,0,0,1,0,4,4,12,3
22,2.4,0,1,0,0,0,0,0,0,0,1,0,0,4,3,4,3
57,4.64,1,0,0,1,0,0,0,1,0,0,0,0,7,3,2,0
80,2.88,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,6
36,3.04,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,1
80,0.91,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0
49,5.0,1,0,0,1,0,0,0,0,0,1,0,0,4,2,1,0
32,0.9,0,0,1,0,0,0,0,0,0,1,0,0,2,2,5,2
78,2.6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
28,0.66,0,0,0,0,0,1,0,0,0,1,1,0,3,2,0,4
55,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,1.06,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0
39,2.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1.02,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
20,3.4,1,0,1,0,0,0,0,0,0,0,1,0,18,12,3,5
74,5.0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0
71,3.65,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
68,0.49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,0.58,1,0,0,0,0,1,0,0,1,0,0,0,6,3,0,5
79,1.23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
70,3.68,0,0,0,0,0,1,1,0,0,0,0,0,3,2,2,5
25,4.0,1,0,0,1,0,0,0,0,0,1,1,0,4,3,0,10
32,1.18,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
63,1.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
54,5.0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0
55,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
80,3.48,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1
65,5.0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0
59,1.59,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,5.0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,5
61,1.18,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
39,0.7,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0
40,1.51,1,0,1,0,0,0,0,1,0,0,1,0,7,1,0,0
56,2.16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
62,0.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,3.08,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
48,3.03,0,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0
50,4.62,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,1.36,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
24,0.16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5
62,0.68,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
80,4.16,1,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0
76,0.84,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
80,3.2,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,25
60,4.25,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0
33,5.0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,3,2
23,3.37,1,0,0,1,0,0,1,0,0,0,0,0,6,3,3,2
22,3.25,1,0,1,0,0,0,0,0,0,1,1,0,9,0,60,0
42,2.66,0,0,0,1,0,0,0,0,0,0,0,0,15,5,0,4
70,0.83,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
64,2.96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,0.96,1,0,1,0,0,0,0,0,0,0,1,0,2,2,0,12
51,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,2.57,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3
76,4.06,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
32,1.0,0,0,0,1,0,0,0,0,0,1,1,0,10,0,45,0
28,0.49,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,8
29,0.81,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38,3.86,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,0.7,1,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0
37,3.21,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
26,2.86,0,1,0,0,0,0,0,0,0,1,0,0,5,5,4,10
25,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0
35,1.7,0,0,0,0,0,0,0,0,0,1,1,0,4,4,3,2
42,2.65,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,1
34,2.53,1,0,1,0,0,0,1,0,0,0,0,0,7,2,4,1
31,3.55,1,1,0,0,0,0,0,0,0,1,0,0,4,3,1,1
38,0.73,1,0,1,0,0,0,0,1,0,0,1,0,7,3,0,0
52,5.0,1,0,0,0,0,0,0,0,0,1,0,1,10,2,0,0
25,1.22,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
50,3.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,5.0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0
25,0.26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4
29,2.74,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
