gender,age,race,education,marital_status,income,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days
2,29,6,5,3,5.0,7,0,0,5
1,36,3,4,3,0.83,2,2,0,7
1,68,7,4,3,1.2,0,0,0,0
1,76,3,5,1,3.61,1,1,1,8
2,33,6,5,1,1.36,4,2,1,2
1,58,2,3,2,1.6,2,1,10,3
1,44,3,3,3,0.02,3,2,7,0
2,54,1,1,1,5.0,1,1,0,0
1,68,3,1,1,1.75,4,4,0,0
2,54,6,5,1,5.0,3,2,12,0
1,55,6,5,1,5.0,1,1,0,0
1,47,6,1,1,1.38,0,0,1,0
2,48,3,5,1,5.0,0,0,0,4
1,63,3,4,1,5.0,6,4,0,12
2,30,4,4,3,2.16,7,7,2,1
2,62,4,3,2,0.07,3,3,6,0
1,22,4,4,3,4.93,4,1,0,10
2,45,1,2,1,2.79,0,0,2,0
1,22,1,4,3,2.38,7,5,0,0
2,49,3,4,2,2.74,3,3,0,10
2,44,3,3,1,5.0,2,0,7,0
2,58,1,5,1,4.86,1,0,0,0
1,76,6,4,1,2.37,3,0,0,0
2,41,2,4,1,5.0,2,0,0,0
2,54,3,2,1,1.0,0,0,0,0
2,55,4,3,3,0.11,10,10,2,0
1,35,1,5,1,3.65,2,1,0,0
2,48,4,4,2,1.18,0,0,0,0
1,44,7,4,1,1.13,4,4,21,0
2,43,3,4,2,1.08,1,1,0,1
2,23,4,3,3,1.15,15,10,5,2
2,63,3,5,1,5.0,4,0,12,0
1,59,3,2,3,1.25,0,0,0,0
2,49,2,4,1,1.15,0,0,0,0
2,80,2,2,2,2.07,1,0,0,0
1,62,6,5,1,4.56,5,3,1,4
2,30,3,4,3,1.22,3,3,0,0
1,23,3,4,3,3.71,5,3,10,15
1,41,3,3,2,2.57,2,2,2,17
1,36,3,5,3,5.0,4,0,0,0
2,66,3,3,1,1.52,2,0,0,0
2,70,1,3,1,1.7,2,0,2,0
1,56,7,4,1,5.0,1,0,1,0
2,44,4,5,1,2.9,5,5,0,0
2,56,2,1,1,1.64,1,1,0,0
1,76,4,4,2,0.89,0,0,0,3
2,29,4,4,3,0.17,0,0,0,0
1,56,4,4,1,3.92,7,7,0,0
2,37,6,5,2,2.38,1,0,0,0
2,47,3,3,1,2.77,2,2,0,4
1,30,7,5,1,5.0,2,0,1,0
2,23,2,5,1,0.91,10,8,0,0
2,32,1,3,1,0.61,2,1,0,0
1,51,4,3,1,1.63,4,4,0,0
2,55,4,5,1,5.0,2,1,0,0
2,62,1,3,1,0.77,0,0,0,0
2,61,4,5,1,3.69,1,1,0,0
1,60,3,1,2,1.54,3,0,0,0
2,61,6,5,1,4.72,0,0,0,0
1,80,3,3,1,2.37,2,0,2,0
1,27,3,2,1,0.81,6,6,0,30
2,45,2,4,1,5.0,3,2,5,0
2,44,4,5,3,3.66,4,3,0,0
1,62,7,3,1,0.46,5,4,8,3
1,80,6,5,1,5.0,1,0,0,0
2,80,2,1,2,0.64,0,0,0,0
2,59,4,4,2,1.8,1,1,0,0
2,20,3,4,3,0.41,2,0,0,0
1,21,4,3,3,1.07,1,1,3,2
2,25,3,4,1,1.44,1,1,0,1
1,29,7,2,1,0.61,3,3,30,30
1,37,4,5,1,3.43,4,4,0,0
2,25,4,4,3,0.29,1,1,0,0
1,40,3,4,1,5.0,6,3,0,2
1,76,3,5,1,5.0,6,0,0,0
1,32,6,4,3,2.66,3,3,0,0
1,30,6,3,3,1.43,3,3,2,0
1,21,3,4,3,5.0,4,1,2,2
1,60,3,3,1,1.47,0,0,0,1
1,34,1,5,1,3.52,1,1,0,0
2,27,3,4,1,5.0,6,4,0,1
1,30,4,4,3,1.11,2,0,0,15
